Name,Rating,Reviews,Culture,About
Maruti Suzuki,4.1,(7.9k),"Job Security, Salary & Benefits, Skill Development / Learning",Automobile | Gurgaon / Gurugram +411 other locations
EXL Service,3.7,(7.8k),Job Security,IT Services & Consulting | Noida +60 other locations
Samsung,3.9,(7.8k),Salary & Benefits,Consumer Electronics & Appliances | Noida +557 other locations
Sutherland Global Services,3.5,(7.7k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",BPO | Chennai +73 other locations
Ericsson,4.1,(7.7k),"Work Life Balance, Company Culture, Job Security",Telecom | Bangalore / Bengaluru +158 other locations
Bajaj Finance,4.0,(7.7k),"Salary & Benefits, Skill Development / Learning, Job Security",NBFC | Pune +889 other locations
Cipla,4.1,(7.5k),"Skill Development / Learning, Salary & Benefits, Work Life Balance",Pharma | Mumbai +277 other locations
Dr. Reddy's,4.0,(7.4k),"Skill Development / Learning, Company Culture, Work Life Balance",Pharma | Hyderabad / Secunderabad +202 other locations
Wells Fargo,3.8,(7.3k),"Work Life Balance, Job Security",Financial Services | Bangalore / Bengaluru +28 other locations
HGS,3.8,(7.2k),Job Security,BPO | Bangalore / Bengaluru +116 other locations
Amazon Development Centre India,4.0,(7k),"Company Culture, Work Life Balance, Salary & Benefits",Internet | Hyderabad / Secunderabad +145 other locations
ICICI Prudential Life Insurance,4.0,(7k),"Job Security, Skill Development / Learning, Salary & Benefits",Insurance | Mumbai +490 other locations
Optum Global Solutions,4.0,(6.9k),"Job Security, Company Culture, Work Life Balance",IT Services & Consulting | Hyderabad / Secunderabad +58 other locations
JPMorgan Chase & Co.,3.9,(6.9k),"Job Security, Company Culture, Salary & Benefits",Financial Services | Bangalore / Bengaluru +51 other locations
Delhivery,3.8,(6.8k),Promotions / Appraisal,Logistics | Gurgaon / Gurugram +709 other locations
Jana Small Finance Bank,3.8,(6.7k),,Banking | Bangalore / Bengaluru +395 other locations
Hexaware Technologies,3.5,(6.7k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Chennai +66 other locations
Lupin,4.1,(6.6k),"Company Culture, Skill Development / Learning, Work Life Balance",Pharma | Pune +193 other locations
